Week,Month,Year,Case per Week,Case per Month,Case per Year
37,September,2018,49,,
38,September,2018,63,,
39,September,2018,40,,
40,October,2018,51,212,
41,October,2018,51,,
42,October,2018,62,,
43,October,2018,48,,
44,November,2018,75,321,
45,November,2018,71,,
46,November,2018,78,,
47,November,2018,97,,
48,December,2018,109,620,
49,December,2018,115,,
50,December,2018,108,,
51,December,2018,128,,
52,December,2018,160,,
1,January,2019,207,1073,15924
2,January,2019,245,,
3,January,2019,216,,
4,January,2019,222,,
5,January,2019,183,,
6,February,2019,138,712,
7,February,2019,235,,
8,February,2019,182,,
9,February,2019,157,,
10,March,2019,134,550,
11,March,2019,109,,
12,March,2019,97,,
13,March,2019,101,,
14,March,2019,109,,
15,April,2019,125,611,
16,April,2019,135,,
17,April,2019,157,,
18,April,2019,194,,
19,May,2019,287,1375,
20,May,2019,309,,
21,May,2019,378,,
22,May,2019,401,,
23,June,2019,400,1704,
24,June,2019,467,,
25,June,2019,435,,
26,June,2019,402,,
27,July,2019,593,3112,
28,July,2019,663,,
29,July,2019,649,,
30,July,2019,606,,
31,July,2019,601,,
32,August,2019,528,1941,
33,August,2019,524,,
34,August,2019,475,,
35,August,2019,414,,
36,September,2019,327,1455,
37,September,2019,318,,
38,September,2019,303,,
39,September,2019,261,,
40,September,2019,246,,
41,October,2019,228,1017,
42,October,2019,239,,
43,October,2019,242,,
44,October,2019,308,,
45,November,2019,322,1320,
46,November,2019,373,,
47,November,2019,330,,
48,November,2019,295,,
49,December,2019,281,1054,
50,December,2019,257,,
51,December,2019,226,,
52,December,2019,290,,
